,연도,이름,팀,경기,도루시도,도루허용,도루실책,도루성공률,주루사,팀아이디,팀승률,팀순위
0,2015,박해민,8,144,68,6,8,88.2,6,t1508,0.611,2
1,2015,김상수,8,132,31,2,5,83.9,2,t1508,0.611,2
2,2015,나바로,8,140,28,2,6,78.6,2,t1508,0.611,2
3,2015,구자욱,8,116,24,1,7,70.8,5,t1508,0.611,2
4,2015,박찬도,8,116,19,1,6,68.4,1,t1508,0.611,2
5,2015,박해민,8,144,68,6,8,88.2,6,t1508,0.611,2
6,2015,김상수,8,132,31,2,5,83.9,2,t1508,0.611,2
7,2015,나바로,8,140,28,2,6,78.6,2,t1508,0.611,2
8,2015,구자욱,8,116,24,1,7,70.8,5,t1508,0.611,2
9,2015,박찬도,8,116,19,1,6,68.4,1,t1508,0.611,2
10,2015,박민우,1,141,62,4,16,74.2,3,t1501,0.596,3
11,2015,김종호,1,133,51,4,10,80.4,4,t1501,0.596,3
12,2015,테임즈,1,142,48,4,8,83.3,10,t1501,0.596,3
13,2015,나성범,1,144,27,2,4,85.2,4,t1501,0.596,3
14,2015,이종욱,1,125,21,1,4,81.0,3,t1501,0.596,3
15,2015,최재원,1,114,19,1,5,73.7,1,t1501,0.596,3
16,2015,박민우,1,141,62,4,16,74.2,3,t1501,0.596,3
17,2015,김종호,1,133,51,4,10,80.4,4,t1501,0.596,3
18,2015,테임즈,1,142,48,4,8,83.3,10,t1501,0.596,3
19,2015,나성범,1,144,27,2,4,85.2,4,t1501,0.596,3
20,2015,이종욱,1,125,21,1,4,81.0,3,t1501,0.596,3
21,2015,최재원,1,114,19,1,5,73.7,1,t1501,0.596,3
22,2015,이대형,7,140,58,4,14,75.9,6,t1507,0.364,10
23,2015,김사연,7,72,20,1,5,75.0,4,t1507,0.364,10
24,2015,김민혁,7,82,19,1,7,63.2,1,t1507,0.364,10
25,2015,이대형,7,140,58,4,14,75.9,6,t1507,0.364,10
26,2015,김사연,7,72,20,1,5,75.0,4,t1507,0.364,10
27,2015,김민혁,7,82,19,1,7,63.2,1,t1507,0.364,10
28,2015,오재원,3,120,39,3,8,79.5,3,t1503,0.5489999999999999,1
29,2015,정수빈,3,128,24,1,9,62.5,5,t1503,0.5489999999999999,1
30,2015,오재원,3,120,39,3,8,79.5,3,t1503,0.5489999999999999,1
31,2015,정수빈,3,128,24,1,9,62.5,5,t1503,0.5489999999999999,1
32,2015,이용규,10,124,38,2,10,73.7,8,t1510,0.47200000000000003,6
33,2015,정근우,10,126,27,2,6,77.8,7,t1510,0.47200000000000003,6
34,2015,이용규,10,124,38,2,10,73.7,8,t1510,0.47200000000000003,6
35,2015,정근우,10,126,27,2,6,77.8,7,t1510,0.47200000000000003,6
36,2015,오지환,4,138,35,2,10,71.4,7,t1504,0.451,9
37,2015,김용의,4,71,17,1,6,64.7,2,t1504,0.451,9
38,2015,오지환,4,138,35,2,10,71.4,7,t1504,0.451,9
39,2015,김용의,4,71,17,1,6,64.7,2,t1504,0.451,9
40,2015,아두치,6,132,34,2,10,70.6,5,t1506,0.462,8
41,2015,정훈,6,135,22,1,6,72.7,6,t1506,0.462,8
42,2015,오승택,6,122,19,1,4,78.9,3,t1506,0.462,8
43,2015,아두치,6,132,34,2,10,70.6,5,t1506,0.462,8
44,2015,정훈,6,135,22,1,6,72.7,6,t1506,0.462,8
45,2015,오승택,6,122,19,1,4,78.9,3,t1506,0.462,8
46,2015,고종욱,2,119,36,2,14,61.1,9,t1502,0.545,4
